fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,density,pH,sulphates,alcohol,Body_tmp,Vibrancy_tmp,Sweetness,Nuance,Tannicity,Body,Vibrancy
7.6,0.51,0.15,2.8,0.11,0.9955,3.17,0.63,10.2,5.59775,2.8575,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.7,0.62,0.04,3.8,0.084,0.9978,3.34,0.53,9.5,5.2489,2.925,Sweet,"Complex,Spicy","Balanced,Structured",Medium,Live
10.2,0.42,0.57,3.4,0.07,0.9971,3.04,0.63,9.6,5.29855,3.5575,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.5,0.63,0.12,5.1,0.111,0.9983,3.26,0.77,9.4,5.19915,2.8775,Sweet,"Complex,Spicy","Balanced,Structured",Medium,Live
7.8,0.59,0.18,2.3,0.076,0.9975,3.43,0.59,10.0,5.49875,3.0,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.3,0.39,0.31,2.4,0.074,0.9962,3.41,0.54,9.4,5.1981,2.8525,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
8.8,0.4,0.4,2.2,0.079,0.998,3.44,0.64,9.2,5.098999999999999,3.2600000000000002,Semi-Dry,"Complex,Spicy","Balanced,Structured",Light,Live
7.7,0.69,0.49,1.8,0.115,0.9968,3.21,0.71,9.3,5.1484000000000005,3.0225,Semi-Dry,Intense,"Balanced,Structured",Medium,Live
7.5,0.52,0.16,1.9,0.085,0.9968,3.38,0.62,9.5,5.2484,2.8899999999999997,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.0,0.735,0.05,2.0,0.081,0.9966,3.39,0.57,9.8,5.398300000000001,2.79375,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.5,0.52,0.11,1.5,0.079,0.9968,3.42,0.58,9.6,5.2984,2.8874999999999997,Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
6.6,0.705,0.07,1.6,0.076,0.9962,3.44,0.58,10.7,5.8481,2.70375,Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
9.3,0.32,0.57,2.0,0.074,0.9969,3.28,0.79,10.7,5.84845,3.3675,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
8.0,0.705,0.05,1.9,0.074,0.9962,3.34,0.95,10.5,5.7481,3.02375,Semi-Dry,"Complex,Spicy",Robust,Medium,Live
7.7,0.63,0.08,1.9,0.076,0.9967,3.32,0.54,9.5,5.24835,2.9325,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.7,0.67,0.23,2.1,0.088,0.9962,3.32,0.48,9.5,5.2481,2.9800000000000004,Semi-Dry,"Complex,Spicy",Soft,Medium,Live
7.7,0.69,0.22,1.9,0.084,0.9961,3.31,0.48,9.5,5.24805,2.9800000000000004,Semi-Dry,"Complex,Spicy",Soft,Medium,Live
8.3,0.675,0.26,2.1,0.084,0.9976,3.31,0.53,9.2,5.0988,3.1362500000000004,Semi-Dry,"Complex,Spicy","Balanced,Structured",Light,Live
9.7,0.32,0.54,2.5,0.094,0.9984,3.28,0.82,9.6,5.2992,3.4599999999999995,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
6.8,0.785,0.0,2.4,0.104,0.9966,3.52,0.55,10.7,5.8483,2.77625,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
6.7,0.75,0.12,2.0,0.086,0.9958,3.38,0.52,10.1,5.5479,2.7375,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
8.3,0.625,0.2,1.5,0.08,0.9972,3.16,1.12,9.1,5.0485999999999995,3.07125,Dry,"Complex,Spicy",Robust,Light,Live
6.2,0.45,0.2,1.6,0.069,0.9958,3.41,0.56,9.2,5.097899999999999,2.5650000000000004,Dry,"Complex,Spicy","Balanced,Structured",Light,Liveliness
7.8,0.43,0.7,1.9,0.464,0.9974,3.13,1.28,9.4,5.1987000000000005,3.0149999999999997,Semi-Dry,Intense,Robust,Medium,Live
7.4,0.5,0.47,2.0,0.086,0.997,3.36,0.57,9.1,5.0485,2.9325,Semi-Dry,"Complex,Spicy","Balanced,Structured",Light,Live
7.3,0.67,0.26,1.8,0.401,0.9969,3.16,1.14,9.4,5.19845,2.8475,Semi-Dry,Intense,Robust,Medium,Live
6.3,0.3,0.48,1.8,0.069,0.9959,3.44,0.78,10.3,5.647950000000001,2.63,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Liveliness
6.9,0.55,0.15,2.2,0.076,0.9961,3.41,0.59,10.1,5.54805,2.7525000000000004,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
9.3,0.39,0.44,2.1,0.107,0.9978,3.14,1.22,9.5,5.2489,3.3175000000000003,Semi-Dry,"Complex,Spicy",Robust,Medium,Live
7.0,0.62,0.08,1.8,0.076,0.9978,3.48,0.53,9.0,4.9989,2.795,Semi-Dry,"Complex,Spicy","Balanced,Structured",Light,Live
7.9,0.52,0.26,1.9,0.079,0.9964,3.23,0.54,9.5,5.2482,2.9775,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
8.6,0.49,0.29,2.0,0.11,0.9972,2.93,1.98,9.8,5.3986,3.0774999999999997,Semi-Dry,"Complex,Spicy",Robust,Medium,Live
5.0,1.02,0.04,1.4,0.045,0.9938,3.75,0.48,10.5,5.7469,2.4524999999999997,Dry,Simple,Soft,Medium,Liveliness
4.7,0.6,0.17,2.3,0.058,0.9932,3.85,0.6,12.9,6.9466,2.33,Semi-Dry,Simple,"Balanced,Structured",Full-Bodied,Liveliness
6.8,0.775,0.0,3.0,0.102,0.9965,3.45,0.56,10.7,5.848249999999999,2.75625,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.0,0.5,0.25,2.0,0.07,0.9963,3.25,0.63,9.2,5.0981499999999995,2.75,Semi-Dry,"Complex,Spicy","Balanced,Structured",Light,Live
7.6,0.9,0.06,2.5,0.079,0.9967,3.39,0.56,9.8,5.398350000000001,2.9875000000000003,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
8.3,0.61,0.3,2.1,0.084,0.9972,3.4,0.61,10.2,5.598599999999999,3.1525000000000003,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.8,0.5,0.3,1.9,0.075,0.9959,3.31,0.56,10.4,5.6979500000000005,2.9775000000000005,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.2,0.49,0.24,2.2,0.07,0.996,3.33,0.48,9.4,5.198,2.8150000000000004,Semi-Dry,"Complex,Spicy",Soft,Medium,Live
7.8,0.41,0.68,1.7,0.467,0.9973,3.08,1.31,9.3,5.14865,2.9924999999999997,Dry,Intense,Robust,Medium,Live
6.2,0.63,0.31,1.7,0.088,0.9969,3.46,0.79,9.3,5.14845,2.65,Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
8.0,0.33,0.53,2.5,0.091,0.9976,3.37,0.8,9.6,5.2988,3.0575,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
8.1,0.785,0.52,2.0,0.122,0.9969,3.21,0.69,9.3,5.14845,3.1537499999999996,Semi-Dry,Intense,"Balanced,Structured",Medium,Live
8.4,0.62,0.09,2.2,0.084,0.9964,3.15,0.66,9.8,5.3982,3.065,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
8.4,0.6,0.1,2.2,0.085,0.9964,3.15,0.66,9.8,5.3982,3.0625,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
10.1,0.31,0.44,2.3,0.08,0.9988,3.32,0.67,9.7,5.349399999999999,3.5425,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
9.4,0.4,0.31,2.2,0.09,0.9966,3.07,0.63,10.5,5.7483,3.2950000000000004,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
8.3,0.54,0.28,1.9,0.077,0.9978,3.39,0.61,10.0,5.4989,3.1275,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.8,0.56,0.12,2.0,0.082,0.997,3.37,0.5,9.4,5.1985,2.9624999999999995,Semi-Dry,"Complex,Spicy",Soft,Medium,Live
7.0,0.69,0.08,1.8,0.097,0.9959,3.34,0.54,9.2,5.09795,2.7775,Semi-Dry,"Complex,Spicy","Balanced,Structured",Light,Live
7.3,1.07,0.09,1.7,0.178,0.9962,3.3,0.57,9.0,4.9981,2.9399999999999995,Dry,Intense,"Balanced,Structured",Light,Live
7.3,0.695,0.0,2.5,0.075,0.998,3.49,0.52,9.2,5.098999999999999,2.87125,Semi-Dry,"Complex,Spicy","Balanced,Structured",Light,Live
8.0,0.71,0.0,2.6,0.08,0.9976,3.44,0.53,9.5,5.2488,3.0375,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.8,0.5,0.17,1.6,0.082,0.996,3.39,0.48,9.5,5.248,2.9650000000000003,Dry,"Complex,Spicy",Soft,Medium,Live
9.0,0.62,0.04,1.9,0.146,0.9984,3.16,0.7,9.4,5.1992,3.2049999999999996,Semi-Dry,Intense,"Balanced,Structured",Medium,Live
8.2,1.33,0.0,1.7,0.081,0.9964,3.53,0.49,10.9,5.9482,3.2649999999999997,Dry,"Complex,Spicy",Soft,Medium,Live
8.1,1.33,0.0,1.8,0.082,0.9964,3.54,0.48,10.9,5.9482,3.2424999999999997,Semi-Dry,"Complex,Spicy",Soft,Medium,Live
8.0,0.59,0.16,1.8,0.065,0.9962,3.42,0.92,10.5,5.7481,3.0425,Semi-Dry,"Complex,Spicy",Robust,Medium,Live
6.1,0.38,0.15,1.8,0.072,0.9955,3.42,0.57,9.4,5.19775,2.5125,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Liveliness
8.0,0.745,0.56,2.0,0.118,0.9968,3.24,0.66,9.4,5.1984,3.13625,Semi-Dry,Intense,"Balanced,Structured",Medium,Live
6.6,0.5,0.01,1.5,0.06,0.9952,3.4,0.58,9.8,5.397600000000001,2.6275,Dry,Simple,"Balanced,Structured",Medium,Liveliness
7.9,1.04,0.05,2.2,0.084,0.9959,3.22,0.55,9.9,5.4479500000000005,3.0525000000000007,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.2,0.415,0.36,2.0,0.081,0.9972,3.48,0.64,9.2,5.098599999999999,2.86375,Semi-Dry,"Complex,Spicy","Balanced,Structured",Light,Live
7.8,0.56,0.19,2.1,0.081,0.9962,3.33,0.54,9.5,5.2481,2.9699999999999998,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.8,0.56,0.19,2.0,0.081,0.9962,3.32,0.54,9.5,5.2481,2.9675,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
6.3,0.39,0.08,1.7,0.066,0.9954,3.34,0.58,9.4,5.1977,2.5275,Dry,"Complex,Spicy","Balanced,Structured",Medium,Liveliness
8.1,0.67,0.55,1.8,0.117,0.9968,3.17,0.62,9.4,5.1984,3.1225,Semi-Dry,Intense,"Balanced,Structured",Medium,Live
5.8,0.68,0.02,1.8,0.087,0.9944,3.54,0.52,10.0,5.4972,2.51,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Liveliness
7.6,0.49,0.26,1.6,0.236,0.9968,3.11,0.8,9.3,5.1484000000000005,2.8649999999999998,Dry,Intense,"Balanced,Structured",Medium,Live
6.9,0.49,0.1,2.3,0.074,0.9959,3.42,0.58,10.2,5.59795,2.7275,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
8.2,0.4,0.44,2.8,0.089,0.9975,3.53,0.61,10.5,5.74875,3.1424999999999996,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.3,0.33,0.47,2.1,0.077,0.9958,3.33,0.53,10.3,5.6479,2.8575,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
9.2,0.52,1.0,3.4,0.61,0.9996,2.74,2.0,9.4,5.1998,3.3649999999999998,Semi-Dry,Intense,Robust,Medium,Live
7.1,0.68,0.0,2.2,0.073,0.9969,3.48,0.5,9.3,5.14845,2.815,Semi-Dry,"Complex,Spicy",Soft,Medium,Live
6.8,0.6,0.18,1.9,0.079,0.9968,3.59,0.57,9.3,5.1484000000000005,2.7924999999999995,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.6,0.95,0.03,2.0,0.09,0.9959,3.2,0.56,9.6,5.29795,2.9449999999999994,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.6,0.68,0.02,1.3,0.072,0.9965,3.17,1.08,9.2,5.098249999999999,2.8674999999999997,Dry,"Complex,Spicy",Robust,Light,Live
7.8,0.53,0.04,1.7,0.076,0.9964,3.33,0.56,10.0,5.4982,2.925,Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.4,0.6,0.26,7.3,0.07,0.9982,3.37,0.49,9.4,5.1991000000000005,2.9074999999999998,Sweet,"Complex,Spicy",Soft,Medium,Live
7.3,0.59,0.26,7.2,0.07,0.9981,3.37,0.49,9.4,5.19905,2.88,Sweet,"Complex,Spicy",Soft,Medium,Live
7.8,0.63,0.48,1.7,0.1,0.9961,3.19,0.62,9.5,5.24805,3.025,Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
6.8,0.64,0.1,2.1,0.085,0.9956,3.34,0.52,10.2,5.597799999999999,2.7199999999999998,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.3,0.55,0.03,1.6,0.072,0.9956,3.37,0.48,9.0,4.9978,2.8125,Dry,"Complex,Spicy",Soft,Light,Live
6.8,0.63,0.07,2.1,0.089,0.9953,3.47,0.55,10.4,5.69765,2.7425,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.5,0.705,0.24,1.8,0.36,0.9964,3.0,1.59,9.5,5.2482,2.86125,Semi-Dry,Intense,Robust,Medium,Live
7.9,0.885,0.03,1.8,0.058,0.9972,3.36,0.33,9.1,5.0485999999999995,3.0437499999999997,Semi-Dry,Simple,Soft,Light,Live
7.4,0.62,0.05,1.9,0.068,0.9961,3.42,0.57,11.5,6.24805,2.8725,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
6.9,0.5,0.04,1.5,0.085,0.9958,3.35,0.78,9.5,5.2479,2.6975000000000002,Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.5,0.52,0.42,2.3,0.087,0.9972,3.58,0.61,10.5,5.7486,3.005,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.0,0.805,0.0,2.5,0.068,0.9969,3.48,0.56,9.6,5.29845,2.82125,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
8.9,0.61,0.49,2.0,0.27,0.9972,3.12,1.02,9.3,5.1486,3.2800000000000002,Semi-Dry,Intense,Robust,Medium,Live
7.2,0.73,0.02,2.5,0.076,0.9972,3.44,0.52,9.3,5.1486,2.8474999999999997,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
6.8,0.61,0.2,1.8,0.077,0.9971,3.54,0.58,9.3,5.14855,2.7875,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
6.7,0.62,0.21,1.9,0.079,0.997,3.52,0.58,9.3,5.1485,2.7625,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
8.9,0.31,0.57,2.0,0.111,0.9971,3.26,0.53,9.7,5.3485499999999995,3.2600000000000002,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.4,0.39,0.48,2.0,0.082,0.9972,3.34,0.55,9.2,5.098599999999999,2.9025,Semi-Dry,"Complex,Spicy","Balanced,Structured",Light,Live
7.7,0.705,0.1,2.6,0.084,0.9976,3.39,0.49,9.7,5.3488,2.97375,Semi-Dry,"Complex,Spicy",Soft,Medium,Live
7.9,0.5,0.33,2.0,0.084,0.9968,3.2,0.55,9.5,5.2484,2.9825,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.9,0.49,0.32,1.9,0.082,0.9968,3.2,0.55,9.5,5.2484,2.9775,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
8.2,0.5,0.35,2.9,0.077,0.9976,3.23,0.62,9.4,5.1988,3.07,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
6.4,0.37,0.25,1.9,0.074,0.9974,3.57,0.62,9.8,5.398700000000001,2.6475,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
6.8,0.63,0.12,3.8,0.099,0.9969,3.28,0.61,9.5,5.24845,2.7075,Sweet,"Complex,Spicy","Balanced,Structured",Medium,Live
7.8,0.59,0.33,2.0,0.074,0.9968,3.25,0.54,9.4,5.1984,2.9925,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.3,0.58,0.3,2.4,0.074,0.9968,3.46,0.59,10.2,5.5984,2.91,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
11.5,0.3,0.6,2.0,0.067,0.9981,3.11,0.97,10.1,5.549049999999999,3.8775,Semi-Dry,"Complex,Spicy",Robust,Medium,Brilliant
5.4,0.835,0.08,1.2,0.046,0.9924,3.57,0.85,13.0,6.9962,2.47125,Dry,Simple,"Balanced,Structured",Full-Bodied,Liveliness
6.9,1.09,0.06,2.1,0.061,0.9948,3.51,0.43,11.4,6.1974,2.89,Semi-Dry,"Complex,Spicy",Soft,Medium,Live
9.6,0.32,0.47,1.4,0.056,0.99695,3.22,0.82,10.3,5.648475,3.4025000000000003,Dry,Simple,"Balanced,Structured",Medium,Live
8.8,0.37,0.48,2.1,0.097,0.9975,3.04,1.03,9.3,5.148750000000001,3.1725000000000003,Semi-Dry,"Complex,Spicy",Robust,Medium,Live
6.8,0.5,0.11,1.5,0.075,0.99545,3.36,0.79,9.5,5.247725,2.6925,Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.0,0.42,0.35,1.6,0.088,0.9961,3.34,0.55,9.2,5.09805,2.7775,Dry,"Complex,Spicy","Balanced,Structured",Light,Live
7.0,0.43,0.36,1.6,0.089,0.99615,3.34,0.56,9.2,5.098075,2.7824999999999998,Dry,"Complex,Spicy","Balanced,Structured",Light,Live
7.8,0.57,0.31,1.8,0.069,0.99625,3.29,0.53,9.3,5.148125,2.9924999999999997,Semi-Dry,"Complex,Spicy","Balanced,Structured",Light,Live
7.8,0.44,0.28,2.7,0.1,0.9966,3.22,0.67,9.4,5.198300000000001,2.935,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
11.0,0.3,0.58,2.1,0.054,0.998,3.31,0.88,10.5,5.749,3.7975000000000003,Semi-Dry,Simple,Robust,Medium,Brilliant
9.7,0.53,0.6,2.0,0.039,0.99585,3.3,0.86,12.4,6.697925000000001,3.5324999999999998,Semi-Dry,Simple,Robust,Full-Bodied,Live
8.0,0.725,0.24,2.8,0.083,0.99685,3.35,0.56,10.0,5.498425,3.07875,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
11.6,0.44,0.64,2.1,0.059,0.998,3.21,0.67,10.2,5.598999999999999,3.9725,Semi-Dry,Simple,"Balanced,Structured",Medium,Brilliant
8.2,0.57,0.26,2.2,0.06,0.9959,3.3,0.43,10.1,5.54795,3.0824999999999996,Semi-Dry,Simple,Soft,Medium,Live
7.8,0.735,0.08,2.4,0.092,0.9974,3.24,0.71,9.8,5.398700000000001,2.96375,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.0,0.49,0.49,5.6,0.06,0.9974,3.34,0.76,10.5,5.7487,2.83,Sweet,Simple,"Balanced,Structured",Medium,Live
8.7,0.625,0.16,2.0,0.101,0.9962,3.14,0.57,11.0,5.9981,3.15625,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
8.1,0.725,0.22,2.2,0.072,0.9967,3.36,0.55,9.1,5.04835,3.10125,Semi-Dry,"Complex,Spicy","Balanced,Structured",Light,Live
7.5,0.49,0.19,1.9,0.076,0.9957,3.39,0.54,9.7,5.347849999999999,2.8925,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.8,0.53,0.33,2.4,0.08,0.99655,3.3,0.6,9.5,5.248275,2.99,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
