fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,density,pH,sulphates,alcohol,Body_tmp,Vibrancy_tmp,Sweetness,Nuance,Tannicity,Body,Vibrancy
7.3,0.28,0.43,1.7,0.08,0.9905,3.19,0.42,12.8,6.895250000000001,2.8,Semi-Dry,Intense,"Balanced,Structured",Full-Bodied,Live
6.5,0.39,0.23,5.4,0.051,0.9934,3.24,0.35,10.0,5.4967,2.59,Semi-Dry,"Complex,Spicy",Soft,Medium,Live
7.0,0.33,0.32,1.2,0.053,0.9906,3.13,0.28,11.2,6.0953,2.6950000000000003,Dry,"Complex,Spicy",Soft,Medium,Live
6.7,0.23,0.39,2.5,0.172,0.9937,3.11,0.36,9.4,5.19685,2.6075,Semi-Dry,Intense,Soft,Medium,Live
6.7,0.24,0.39,2.9,0.173,0.9937,3.1,0.34,9.4,5.19685,2.6075,Semi-Dry,Intense,Soft,Medium,Live
6.6,0.24,0.27,1.4,0.057,0.9934,3.22,0.56,9.5,5.2467,2.5825,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
6.7,0.23,0.26,1.4,0.06,0.9934,3.24,0.56,9.5,5.2467,2.6075,Semi-Dry,Intense,"Balanced,Structured",Medium,Live
7.4,0.18,0.31,1.4,0.058,0.9931,3.16,0.53,10.0,5.49655,2.7625,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
6.2,0.45,0.26,4.4,0.063,0.994,3.27,0.52,9.8,5.397,2.545,Semi-Dry,Intense,"Balanced,Structured",Medium,Live
6.2,0.46,0.25,4.4,0.066,0.9939,3.25,0.52,9.8,5.39695,2.54,Semi-Dry,Intense,"Balanced,Structured",Medium,Live
6.9,0.19,0.35,5.0,0.067,0.995,3.36,0.48,9.8,5.3975,2.7,Semi-Dry,Intense,"Balanced,Structured",Medium,Live
7.2,0.19,0.31,1.6,0.062,0.9917,3.35,0.44,11.7,6.3458499999999995,2.7625,Semi-Dry,Intense,"Balanced,Structured",Medium,Live
6.6,0.25,0.29,1.1,0.068,0.9914,3.34,0.58,11.0,5.9957,2.62,Dry,Intense,"Balanced,Structured",Medium,Live
6.2,0.16,0.33,1.1,0.057,0.991,3.32,0.46,10.9,5.9455,2.5025,Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
6.4,0.18,0.35,1.0,0.045,0.9911,3.31,0.35,10.9,5.94555,2.56,Dry,"Complex,Spicy",Soft,Medium,Live
6.8,0.2,0.59,0.9,0.147,0.993,3.05,0.38,9.1,5.0465,2.66,Dry,Intense,"Balanced,Structured",Light,Live
6.9,0.25,0.35,1.3,0.039,0.9908,3.13,0.52,11.0,5.9954,2.6574999999999998,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.2,0.21,0.34,11.9,0.043,0.9962,3.09,0.5,9.6,5.2981,2.71,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.4,0.2,0.36,1.2,0.038,0.9926,3.36,0.34,9.9,5.4463,2.83,Dry,"Complex,Spicy",Soft,Medium,Live
6.8,0.22,0.24,4.9,0.092,0.9951,3.03,0.46,8.6,4.79755,2.5725,Semi-Dry,Intense,"Balanced,Structured",Light,Live
7.0,0.47,0.07,1.1,0.035,0.991,3.02,0.34,10.5,5.7455,2.64,Dry,"Complex,Spicy",Soft,Medium,Live
7.2,0.24,0.27,1.4,0.038,0.9927,3.15,0.46,10.3,5.64635,2.7150000000000003,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
6.2,0.35,0.03,1.2,0.064,0.9934,3.22,0.54,9.1,5.0466999999999995,2.45,Dry,Intense,"Balanced,Structured",Light,Live
6.4,0.26,0.24,6.4,0.04,0.9903,3.22,0.49,12.6,6.79515,2.5300000000000002,Semi-Dry,"Complex,Spicy","Balanced,Structured",Full-Bodied,Live
6.7,0.25,0.13,1.2,0.041,0.992,3.14,0.42,9.8,5.396000000000001,2.555,Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
6.2,0.27,0.43,7.8,0.056,0.9956,3.1,0.51,9.0,4.9978,2.5,Semi-Dry,"Complex,Spicy","Balanced,Structured",Light,Live
6.8,0.3,0.23,4.6,0.061,0.9958,3.32,0.6,9.5,5.2479,2.6625,Semi-Dry,Intense,"Balanced,Structured",Medium,Live
6.0,0.27,0.28,4.8,0.063,0.9964,3.69,0.71,10.0,5.4982,2.56,Semi-Dry,Intense,Robust,Medium,Live
8.6,0.23,0.46,1.0,0.054,0.9941,2.95,0.49,9.1,5.04705,3.0600000000000005,Dry,"Complex,Spicy","Balanced,Structured",Light,Brilliant
7.1,0.18,0.36,1.4,0.043,0.9898,3.26,0.37,12.7,6.8449,2.7249999999999996,Semi-Dry,"Complex,Spicy","Balanced,Structured",Full-Bodied,Live
7.0,0.32,0.34,1.3,0.042,0.9912,3.31,0.65,12.0,6.4956,2.7425,Semi-Dry,"Complex,Spicy",Robust,Medium,Live
7.4,0.18,0.3,8.8,0.064,0.9961,2.94,0.56,9.3,5.1480500000000005,2.705,Semi-Dry,Intense,"Balanced,Structured",Medium,Live
6.7,0.54,0.28,5.4,0.06,0.9949,3.27,0.37,9.0,4.99745,2.6975000000000002,Semi-Dry,Intense,"Balanced,Structured",Light,Live
6.8,0.22,0.31,1.4,0.053,0.9929,3.39,0.77,10.6,5.79645,2.6799999999999997,Semi-Dry,"Complex,Spicy",Robust,Medium,Live
7.1,0.2,0.34,16.0,0.05,0.9985,3.21,0.6,9.2,5.09925,2.7125,Sweet,"Complex,Spicy","Balanced,Structured",Medium,Live
7.1,0.34,0.2,6.1,0.063,0.9946,3.17,0.42,10.0,5.4973,2.7024999999999997,Semi-Dry,Intense,"Balanced,Structured",Medium,Live
7.3,0.22,0.3,8.2,0.047,0.9966,3.33,0.46,9.5,5.2483,2.7874999999999996,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
6.8,0.25,0.31,13.3,0.05,0.9972,3.22,0.48,9.7,5.348599999999999,2.645,Sweet,"Complex,Spicy","Balanced,Structured",Medium,Live
6.1,0.27,0.43,7.5,0.049,0.9957,3.12,0.47,9.0,4.99785,2.4799999999999995,Semi-Dry,"Complex,Spicy","Balanced,Structured",Light,Live
6.9,0.24,0.33,1.7,0.035,0.99,3.26,0.4,12.6,6.795,2.6825,Semi-Dry,"Complex,Spicy","Balanced,Structured",Full-Bodied,Live
6.9,0.21,0.33,1.8,0.034,0.9899,3.25,0.41,12.6,6.79495,2.6725000000000003,Semi-Dry,"Complex,Spicy","Balanced,Structured",Full-Bodied,Live
7.5,0.17,0.32,1.7,0.04,0.9916,3.21,0.44,11.5,6.2458,2.8,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.1,0.26,0.29,12.4,0.044,0.9969,3.04,0.42,9.2,5.09845,2.6725,Sweet,"Complex,Spicy","Balanced,Structured",Medium,Live
8.6,0.265,0.36,1.2,0.034,0.9913,2.95,0.36,11.4,6.1956500000000005,3.04375,Dry,"Complex,Spicy",Soft,Medium,Brilliant
9.8,0.36,0.46,10.5,0.038,0.9956,2.89,0.3,10.1,5.5478,3.3775000000000004,Semi-Dry,"Complex,Spicy",Soft,Medium,Brilliant
6.0,0.21,0.24,12.1,0.05,0.997,3.34,0.39,9.4,5.1985,2.4475,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.5,0.305,0.4,18.9,0.059,1.0,2.99,0.46,9.0,5.0,2.79875,Sweet,Intense,"Balanced,Structured",Light,Live
7.3,0.13,0.32,14.4,0.051,0.9974,3.2,0.35,9.2,5.0987,2.7375,Sweet,"Complex,Spicy",Soft,Medium,Live
6.9,0.33,0.28,1.3,0.051,0.9927,3.27,0.6,10.3,5.64635,2.6950000000000003,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
6.5,0.17,0.54,8.5,0.082,0.9959,2.89,0.39,8.8,4.897950000000001,2.525,Semi-Dry,Intense,"Balanced,Structured",Light,Live
7.2,0.27,0.46,18.75,0.052,1.0,3.04,0.52,8.9,4.95,2.7425,Sweet,"Complex,Spicy","Balanced,Structured",Light,Live
5.5,0.485,0.0,1.5,0.065,0.994,3.63,0.4,9.7,5.3469999999999995,2.40375,Semi-Dry,Intense,"Balanced,Structured",Medium,Live
6.0,0.31,0.24,3.3,0.041,0.9914,3.31,0.44,11.3,6.145700000000001,2.465,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.0,0.14,0.4,1.7,0.035,0.9911,3.19,0.42,11.8,6.39555,2.6825,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.3,0.32,0.48,13.3,0.06,0.9982,3.04,0.5,9.2,5.0991,2.785,Sweet,Intense,"Balanced,Structured",Medium,Live
5.9,0.36,0.04,5.7,0.046,0.9934,3.22,0.51,10.2,5.596699999999999,2.3800000000000003,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Liveliness
7.8,0.24,0.32,12.2,0.054,0.9984,3.01,0.54,8.8,4.8992,2.8425,Semi-Dry,"Complex,Spicy","Balanced,Structured",Light,Live
7.4,0.16,0.31,6.85,0.059,0.9952,3.29,0.34,9.7,5.3476,2.79,Semi-Dry,Intense,Soft,Medium,Live
6.9,0.19,0.28,5.0,0.058,0.9952,3.29,0.36,9.1,5.0476,2.665,Semi-Dry,"Complex,Spicy",Soft,Light,Live
6.4,0.13,0.47,1.6,0.092,0.9928,3.21,0.36,9.8,5.396400000000001,2.5525,Semi-Dry,Intense,Soft,Medium,Live
6.7,0.19,0.36,1.1,0.026,0.9912,3.27,0.48,11.0,5.9956,2.6300000000000003,Dry,Simple,"Balanced,Structured",Medium,Live
7.4,0.39,0.23,7.0,0.033,0.994,3.14,0.42,10.5,5.747,2.79,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
6.1,0.3,0.56,2.8,0.044,0.9924,3.3,0.57,10.9,5.9462,2.5649999999999995,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
6.1,0.3,0.56,2.7,0.046,0.9924,3.31,0.57,10.9,5.9462,2.5675,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
5.7,0.26,0.25,10.4,0.02,0.994,3.39,0.37,10.6,5.797,2.4,Semi-Dry,Simple,"Balanced,Structured",Medium,Liveliness
6.5,0.425,0.4,13.1,0.038,0.9979,3.23,0.57,9.0,4.99895,2.63875,Sweet,"Complex,Spicy","Balanced,Structured",Light,Live
6.6,0.24,0.27,15.8,0.035,0.9982,3.24,0.51,9.2,5.0991,2.5875,Sweet,"Complex,Spicy","Balanced,Structured",Medium,Live
6.8,0.27,0.22,8.1,0.034,0.9961,3.19,0.52,8.9,4.94805,2.62,Semi-Dry,"Complex,Spicy","Balanced,Structured",Light,Live
6.7,0.27,0.31,15.7,0.036,0.9979,3.26,0.56,9.6,5.29895,2.635,Sweet,"Complex,Spicy","Balanced,Structured",Medium,Live
8.2,0.23,0.4,1.2,0.027,0.992,3.12,0.38,10.7,5.846,2.9875,Dry,Simple,"Balanced,Structured",Medium,Brilliant
6.8,0.19,0.36,1.9,0.035,0.9917,3.15,0.54,10.8,5.89585,2.625,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
8.1,0.28,0.39,1.9,0.029,0.9923,3.23,0.52,11.8,6.3961500000000004,3.0,Semi-Dry,Simple,"Balanced,Structured",Medium,Brilliant
6.3,0.31,0.34,2.2,0.045,0.9927,3.3,0.43,10.2,5.596349999999999,2.5625,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.9,0.21,0.4,1.2,0.039,0.992,3.21,0.54,10.8,5.896000000000001,2.9300000000000006,Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
8.5,0.21,0.41,4.3,0.036,0.9947,3.18,0.53,9.7,5.34735,3.075,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Brilliant
8.1,0.2,0.4,2.0,0.037,0.9921,3.12,0.54,11.2,6.09605,2.955,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Brilliant
6.3,0.255,0.37,1.1,0.04,0.9905,3.0,0.39,10.9,5.945250000000001,2.48125,Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
5.6,0.16,0.27,1.4,0.044,0.9918,3.28,0.37,10.1,5.5459,2.3274999999999997,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Liveliness
6.4,0.595,0.14,5.2,0.058,0.9951,3.38,0.36,9.0,4.99755,2.62875,Semi-Dry,"Complex,Spicy",Soft,Light,Live
6.3,0.34,0.33,4.6,0.034,0.9917,3.38,0.58,12.0,6.49585,2.5875,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.9,0.22,0.38,8.0,0.043,0.9934,3.12,0.32,11.5,6.2467,2.9050000000000002,Semi-Dry,"Complex,Spicy",Soft,Medium,Live
7.6,0.18,0.46,10.2,0.055,0.9968,3.14,0.43,9.9,5.4484,2.845,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.2,0.18,0.41,1.2,0.048,0.9919,3.14,0.45,10.4,5.69595,2.7325,Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
8.2,0.23,0.4,7.5,0.049,0.9966,3.06,0.84,9.7,5.3483,2.9725,Semi-Dry,"Complex,Spicy",Robust,Medium,Brilliant
6.4,0.22,0.56,14.5,0.055,0.998,2.98,0.4,9.1,5.0489999999999995,2.54,Sweet,"Complex,Spicy","Balanced,Structured",Light,Live
6.3,0.36,0.3,4.8,0.049,0.9932,3.28,0.39,10.6,5.7966,2.56,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
6.7,0.24,0.35,13.1,0.05,0.997,3.15,0.5,9.5,5.2485,2.61,Sweet,"Complex,Spicy","Balanced,Structured",Medium,Live
7.0,0.23,0.36,13.0,0.051,0.9972,3.16,0.49,9.8,5.3986,2.6875,Sweet,"Complex,Spicy","Balanced,Structured",Medium,Live
8.4,0.27,0.46,8.7,0.048,0.9974,3.14,0.59,9.6,5.2987,3.0675000000000003,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Brilliant
6.7,0.46,0.18,2.4,0.034,0.9896,3.08,0.44,12.6,6.7947999999999995,2.605,Semi-Dry,"Complex,Spicy","Balanced,Structured",Full-Bodied,Live
7.5,0.29,0.31,8.95,0.055,0.9968,3.08,0.54,9.3,5.1484000000000005,2.795,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
9.8,0.42,0.48,9.85,0.034,0.9958,2.87,0.29,10.0,5.4979,3.3925,Semi-Dry,"Complex,Spicy",Soft,Medium,Brilliant
7.1,0.3,0.46,1.5,0.066,0.9906,3.12,0.54,12.7,6.8453,2.745,Semi-Dry,Intense,"Balanced,Structured",Full-Bodied,Live
7.9,0.19,0.45,1.5,0.045,0.9917,3.13,0.39,11.0,5.99585,2.9174999999999995,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.6,0.48,0.37,0.8,0.037,0.9902,3.03,0.39,11.4,6.1951,2.8699999999999997,Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
6.3,0.22,0.43,4.55,0.038,0.9918,3.35,0.33,11.5,6.2459,2.5749999999999997,Semi-Dry,"Complex,Spicy",Soft,Medium,Live
7.5,0.27,0.31,17.7,0.051,0.999,3.09,0.64,10.2,5.5995,2.7925,Sweet,"Complex,Spicy","Balanced,Structured",Medium,Live
6.9,0.23,0.4,7.5,0.04,0.9927,3.11,0.27,11.4,6.19635,2.66,Semi-Dry,"Complex,Spicy",Soft,Medium,Live
7.2,0.32,0.47,5.1,0.044,0.991,3.03,0.41,12.6,6.7955,2.755,Semi-Dry,"Complex,Spicy","Balanced,Structured",Full-Bodied,Live
5.9,0.23,0.3,12.9,0.054,0.9972,3.28,0.39,9.4,5.1986,2.4275,Sweet,"Complex,Spicy","Balanced,Structured",Medium,Live
6.0,0.67,0.07,1.2,0.06,0.9931,3.11,0.35,8.7,4.84655,2.4625,Dry,Intense,Soft,Light,Live
6.4,0.25,0.32,5.5,0.049,0.995,3.19,0.68,9.2,5.097499999999999,2.54,Semi-Dry,"Complex,Spicy",Robust,Light,Live
6.4,0.33,0.31,5.5,0.048,0.9951,3.19,0.66,9.3,5.147550000000001,2.5575,Semi-Dry,"Complex,Spicy",Robust,Medium,Live
7.1,0.34,0.15,1.2,0.053,0.9936,3.09,0.43,9.2,5.0968,2.67,Dry,"Complex,Spicy","Balanced,Structured",Light,Live
6.9,0.27,0.4,14.0,0.05,0.9979,3.18,0.58,9.6,5.29895,2.6875,Sweet,"Complex,Spicy","Balanced,Structured",Medium,Live
6.8,0.26,0.56,11.9,0.043,0.997,3.02,0.63,9.3,5.1485,2.6599999999999997,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
6.8,0.29,0.56,11.9,0.043,0.9972,3.02,0.63,9.3,5.1486,2.6675,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
6.7,0.24,0.41,9.4,0.04,0.9954,3.12,0.61,9.9,5.4477,2.6175,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
5.9,0.3,0.23,4.2,0.038,0.9924,3.15,0.5,11.0,5.9962,2.395,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Liveliness
6.8,0.53,0.35,3.8,0.034,0.9906,3.26,0.57,12.7,6.8453,2.735,Semi-Dry,"Complex,Spicy","Balanced,Structured",Full-Bodied,Live
6.5,0.28,0.28,8.5,0.047,0.9962,3.09,0.54,8.9,4.9481,2.5375,Semi-Dry,"Complex,Spicy","Balanced,Structured",Light,Live
6.6,0.28,0.28,8.5,0.052,0.9962,3.09,0.55,8.9,4.9481,2.5625,Semi-Dry,"Complex,Spicy","Balanced,Structured",Light,Live
6.8,0.28,0.36,8.0,0.045,0.9928,3.02,0.37,11.4,6.196400000000001,2.615,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
6.6,0.15,0.34,5.1,0.055,0.9942,3.36,0.42,9.6,5.2970999999999995,2.6125,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
6.4,0.29,0.44,3.6,0.2,0.9942,3.02,0.41,9.1,5.0470999999999995,2.5375,Semi-Dry,Intense,"Balanced,Structured",Light,Live
6.4,0.3,0.45,3.5,0.197,0.9942,3.02,0.39,9.1,5.0470999999999995,2.5425,Semi-Dry,Intense,"Balanced,Structured",Light,Live
6.4,0.29,0.44,3.6,0.197,0.9942,3.01,0.38,9.1,5.0470999999999995,2.535,Semi-Dry,Intense,"Balanced,Structured",Light,Live
6.8,0.27,0.26,16.1,0.049,0.9984,3.15,0.5,9.3,5.1492,2.62,Sweet,"Complex,Spicy","Balanced,Structured",Medium,Live
6.9,0.54,0.32,13.2,0.05,0.9973,3.2,0.5,9.6,5.298649999999999,2.74,Sweet,"Complex,Spicy","Balanced,Structured",Medium,Live
6.8,0.26,0.34,13.9,0.034,0.9949,3.33,0.53,12.0,6.49745,2.6825,Sweet,"Complex,Spicy","Balanced,Structured",Medium,Live
5.8,0.28,0.35,2.3,0.053,0.9924,3.28,0.5,10.2,5.5962,2.4274999999999998,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
6.4,0.21,0.5,11.6,0.042,0.9972,3.15,0.43,8.8,4.8986,2.565,Semi-Dry,"Complex,Spicy","Balanced,Structured",Light,Live
10.2,0.44,0.88,6.2,0.049,0.9968,2.99,0.51,9.9,5.4484,3.6275,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Brilliant
6.8,0.57,0.29,2.2,0.04,0.9938,3.32,0.74,10.2,5.5969,2.745,Semi-Dry,"Complex,Spicy",Robust,Medium,Live
6.1,0.4,0.31,0.9,0.048,0.993,3.22,0.77,9.5,5.2465,2.5075,Dry,"Complex,Spicy",Robust,Medium,Live
5.6,0.245,0.25,9.7,0.032,0.994,3.31,0.34,10.5,5.747,2.35125,Semi-Dry,"Complex,Spicy",Soft,Medium,Liveliness
6.8,0.18,0.38,1.4,0.038,0.9918,3.32,0.59,11.2,6.095899999999999,2.67,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
6.7,0.13,0.29,5.3,0.051,0.9944,3.44,0.37,9.7,5.3472,2.64,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
5.7,0.28,0.24,17.5,0.044,0.9989,3.31,0.44,9.4,5.199450000000001,2.3825000000000003,Sweet,"Complex,Spicy","Balanced,Structured",Medium,Liveliness
7.5,0.23,0.36,7.0,0.036,0.9938,3.04,0.32,11.0,5.9969,2.7824999999999998,Semi-Dry,"Complex,Spicy",Soft,Medium,Live
7.2,0.685,0.21,9.5,0.07,0.9971,3.0,0.55,9.1,5.04855,2.77375,Semi-Dry,Intense,"Balanced,Structured",Light,Live
6.5,0.19,0.3,0.8,0.043,0.9936,3.42,0.39,9.1,5.0468,2.6025,Dry,"Complex,Spicy","Balanced,Structured",Light,Live
6.3,0.495,0.22,1.8,0.046,0.9929,3.39,0.54,10.4,5.6964500000000005,2.60125,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.1,0.25,0.32,10.3,0.041,0.9969,3.17,0.52,9.1,5.04845,2.71,Semi-Dry,"Complex,Spicy","Balanced,Structured",Light,Live
6.8,0.64,0.08,9.7,0.062,0.9972,3.37,0.46,8.9,4.9486,2.7225,Semi-Dry,Intense,"Balanced,Structured",Light,Live
8.3,0.28,0.4,7.8,0.041,0.9976,3.34,0.51,9.6,5.2988,3.08,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Brilliant
8.2,0.27,0.39,7.8,0.039,0.9976,3.31,0.51,9.5,5.2488,3.0425,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Brilliant
6.8,0.52,0.32,13.2,0.044,0.9972,3.27,0.5,9.6,5.2985999999999995,2.7275,Sweet,"Complex,Spicy","Balanced,Structured",Medium,Live
7.0,0.26,0.59,1.4,0.037,0.9918,3.34,0.41,11.1,6.0459,2.7975,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
6.2,0.25,0.21,15.55,0.039,0.9982,3.48,0.64,9.6,5.2991,2.535,Sweet,"Complex,Spicy","Balanced,Structured",Medium,Live
7.3,0.32,0.23,13.7,0.05,0.9985,3.2,0.46,8.7,4.84925,2.7625,Sweet,"Complex,Spicy","Balanced,Structured",Light,Live
7.7,0.31,0.26,7.8,0.031,0.9944,3.13,0.5,10.4,5.6972000000000005,2.8499999999999996,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.1,0.21,0.37,2.4,0.026,0.9903,3.15,0.38,11.4,6.19515,2.7075,Semi-Dry,Simple,"Balanced,Structured",Medium,Live
6.8,0.24,0.34,2.7,0.047,0.9934,3.3,0.58,9.7,5.346699999999999,2.67,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
6.1,0.18,0.36,2.0,0.038,0.9923,3.37,0.79,11.3,6.1461500000000004,2.5025,Semi-Dry,"Complex,Spicy",Robust,Medium,Live
6.8,0.21,0.27,2.1,0.03,0.99,3.16,0.61,12.6,6.795,2.61,Semi-Dry,Simple,"Balanced,Structured",Full-Bodied,Live
5.8,0.2,0.27,1.4,0.031,0.9905,3.25,0.36,10.9,5.945250000000001,2.38,Semi-Dry,"Complex,Spicy",Soft,Medium,Liveliness
5.6,0.19,0.26,1.4,0.03,0.9905,3.25,0.37,10.9,5.945250000000001,2.325,Semi-Dry,Simple,"Balanced,Structured",Medium,Liveliness
6.1,0.41,0.14,10.4,0.037,0.996,3.38,0.45,10.0,5.498,2.5075,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
